view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,condition,response,type,example_name,example_color,example,choices,pass,example1_name,example1_color,example2_name,example2_color,examples,target,num_counters,pool_size,question_order,pid
NA,11174,ButtonsToText,4,152491,0.0-4.0,1,🟡🟠🟠,doubleInTest concat trial,NA,NA,NA,"[""🟠"",""🟡""]",NA,yart,🟠,virt,🟡,"yart 🟠, virt 🟡",virt yart yart,NA,NA,NA,3
NA,9312,ButtonsToText,5,161804,0.0-5.0,1,🟢,"ME_vs_OneToOne trial, simple",NA,NA,NA,"[""🔴"",""🟢""]",NA,dax,🔴,zup,🟢,"dax 🔴, zup 🟢",fep,NA,NA,NA,3
NA,10120,ButtonsToText,6,171926,0.0-6.0,1,🔴🔴🔴🔵🔵,multipleCircles concat trial,NA,NA,NA,"[""🔴"",""🔵""]",NA,tufa,🔴,lug,🔵,"tufa 🔴🔴🔴, lug 🔵🔵",tufa lug,NA,NA,NA,3
NA,4138,ButtonsToText,7,176066,0.0-7.0,1,⚫,catch trial,jom,⚫,jom ⚫,"[""⚫"",""🟢"",""🔵"",""🔴"",""🟣"",""🟡""]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
NA,12270,ButtonsToText,8,188337,0.0-8.0,1,⚫🟤🟤,ME trial,NA,⚫,NA,"[""⚫"",""🟤""]",NA,NA,NA,NA,NA,"yart ⚫, gazzer ⚫",arn,1,2,NA,3
NA,21934,ButtonsToText,9,210273,0.0-9.0,1,🟤,ME trial,NA,🟡,NA,"[""🟡"",""🔵"",""🔴"",""🟠"",""🟤"",""🟢""]",NA,NA,NA,NA,NA,"virt 🟡, tufa 🟡, rop 🟡",sark,2,6,NA,3
NA,8383,ButtonsToText,10,218658,0.0-10.0,1,🟠,ME trial,NA,⚫,NA,"[""⚫"",""🟠"",""🟣"",""🔴"",""🔵"",""🟢""]",NA,NA,NA,NA,NA,"sark ⚫, lug ⚫",blicket,1,6,NA,3
NA,5430,ButtonsToText,11,224089,0.0-11.0,1,🟢⚫,simple concat trial,NA,NA,NA,"[""🟢"",""⚫""]",NA,kiki,🟢,virt,⚫,"kiki 🟢, virt ⚫",kiki virt,NA,NA,NA,3
NA,3244,ButtonsToText,12,227334,0.0-12.0,1,🟤,ME trial,NA,🟤,NA,"[""🟤"",""⚫""]",NA,NA,NA,NA,NA,tufa 🟤,arn,0,2,NA,3
NA,11295,ButtonsToText,13,238631,0.0-13.0,1,🟡🟡🟢🟢,"ME_vs_OneToOne trial, concat",NA,NA,NA,"[""🟡"",""🟢""]",NA,kiki,🟡,wif,🟢,"kiki 🟡, wif 🟢",kiki muv wif,NA,NA,NA,3
NA,21424,ButtonsToText,14,260057,0.0-14.0,1,🟤,ME trial,NA,🟣,NA,"[""🟣"",""🟤"",""🟠"",""🟢"",""🟡"",""🔴""]",NA,NA,NA,NA,NA,keam 🟣,blicket,0,6,NA,3
NA,5869,ButtonsToText,15,265927,0.0-15.0,1,⚫⚫🟠,"ME_vs_OneToOne trial, oneDropped",NA,NA,NA,"[""⚫"",""🟠""]",NA,wif,⚫,enst,🟠,"wif ⚫, enst 🟠",wif tufa,NA,NA,NA,3
NA,6305,ButtonsToText,16,272234,0.0-16.0,1,🔴,catch trial,wif,🔴,wif 🔴,"[""🔴"",""🟠"",""🟢"",""🔵"",""🟣"",""⚫""]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
NA,27186,survey-text,17,299424,0.0-17.0,1,"{""survey"":""I combined some of the dots if there weren't any options to match""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
NA,7697,survey-multi-choice,18,307123,0.0-18.0,1,"{""effort"":""Moderate effort""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0],3
"[{""page_index"":0,""viewing_time"":10805}]",10806,instructions,19,317932,0.0-19.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
